SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
HG03856,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242899/HG03856.final.cram,663716508,STU,8351392b841d19a57a6ce4cd445b19aa
HG02054,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242225/HG02054.final.cram,673519444,ACB,c2adf3f02095f32c424a824a10584b5d
HG02255,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242226/HG02255.final.cram,745141984,ACB,bc9321aa0e2214fa4145f45893960c27
HG03476,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242567/HG03476.final.cram,713578028,MSL,a0e6c4b6bfd89dddb6bbe8a11e91844e
HG01384,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3241883/HG01384.final.cram,723328246,CLM,335a81195b00a9b1629d2a1049ff7f75
HG01354,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3241889/HG01354.final.cram,805321264,CLM,4734adfb8beb779dd6c3d6fdf71d918d
HG01437,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3241898/HG01437.final.cram,768055744,CLM,987b4e7301f98bd2f020dac92813a576
HG01894,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242235/HG01894.final.cram,958141786,ACB,268f2453d69cf9a4ac7bfd802c2eefd0
HG02271,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242241/HG02271.final.cram,744966244,PEL,85e3e3873f37673d24e9bc6c18c2a8bc
HG02278,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242244/HG02278.final.cram,725297780,PEL,8d21a74004613667c323eed26b7d3121
HG03583,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242584/HG03583.final.cram,742490686,MSL,c74f63db4155e0d5753115ba15f3c4aa
HG03294,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242595/HG03294.final.cram,720313054,ESN,ab3ecced0579cbee2779331cab047a15
HG03300,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242597/HG03300.final.cram,743693234,ESN,49870f5a0087c063bd33a622e92f23a3
HG04063,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242937/HG04063.final.cram,743403020,ITU,e03464f1004b2f5348fe21d537484876
HG04093,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242938/HG04093.final.cram,742230770,ITU,a5e1f6db69e32eadabbbdb4f55edc69f
HG01492,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3241911/HG01492.final.cram,755893548,CLM,2e243bcc737b6e19b4deedf5170a267f
HG01501,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3241917/HG01501.final.cram,778974546,IBS,07e01d1680f464449d47333c3171a3e7
HG01506,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3241920/HG01506.final.cram,728044520,IBS,9debaead0adf4a3ff0fcd1bf8f910586
HG02239,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242256/HG02239.final.cram,726994552,IBS,fd43d619a19386c28249764a7ea6c3a3
HG02050,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242259/HG02050.final.cram,823412102,KHV,9e23dc2a39eddd428f2dc91312142e14
